	title	mean	rank	popularity	genres
186	Diamond no Ace: Act II	8.27	297	2242	['School', 'Shounen', 'Sports', 'Team Sports']
187	Dr. Stone	8.27	298	50	['Adventure', 'Comedy', 'Sci-Fi', 'Shounen', 'Survival']
188	Fate/Zero	8.27	299	79	['Action', 'Fantasy', 'Supernatural']
189	Gin no Saji 2nd Season	8.27	300	1583	['Comedy', 'School', 'Shounen']
190	Naruto: Shippuuden	8.27	303	16	['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']
191	Nodame Cantabile	8.26	304	769	['Adult Cast', 'Comedy', 'Josei', 'Music', 'Romance']
192	Shinsekai yori	8.26	305	248	['Drama', 'Fantasy', 'Horror', 'Mystery', 'Psychological', 'Sci-Fi', 'Suspense']
193	Space☆Dandy 2nd Season	8.26	306	1410	['Adult Cast', 'Comedy', 'Sci-Fi', 'Space']
194	Blue Lock	8.26	309	289	['Shounen', 'Sports', 'Team Sports']
195	Gyakkyou Burai Kaiji: Ultimate Survivor	8.26	310	667	['Adult Cast', 'High Stakes Game', 'Psychological', 'Seinen', 'Strategy Game', 'Suspense']
196	Boku no Kokoro no Yabai Yatsu	8.25	312	787	['Comedy', 'Romance', 'School', 'Shounen']
197	Dororo	8.25	313	112	['Action', 'Adventure', 'Fantasy', 'Historical', 'Mythology', 'Samurai', 'Shounen']
198	Kobayashi-san Chi no Maid Dragon S	8.25	315	395	['Fantasy', 'Slice of Life']
199	Kono Subarashii Sekai ni Shukufuku wo! 2	8.25	316	76	['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody']
200	Mushoku Tensei II: Isekai Ittara Honki Dasu	8.25	318	387	['Adventure', 'Drama', 'Ecchi', 'Fantasy', 'Isekai', 'Reincarnation']
201	Planetes	8.25	319	965	['Adult Cast', 'Award Winning', 'Drama', 'Romance', 'Sci-Fi', 'Seinen', 'Space', 'Workplace']
202	Spy x Family Part 2	8.25	320	179	['Action', 'Childcare', 'Comedy', 'Shounen']
203	World Trigger 3rd Season	8.25	323	1858	['Action', 'Sci-Fi', 'Shounen']
204	Tanoshii Muumin Ikka	8.24	324	4239	['Adventure', 'Fantasy', 'Iyashikei', 'Kids', 'Slice of Life']
205	Yubisaki to Renren	8.24	325	1088	['Adult Cast', 'Romance', 'Shoujo']
206	Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen	8.24	328	1128	['Action', 'Adventure', 'Fantasy']
207	Golden Kamuy 2nd Season	8.24	329	1178	['Action', 'Adult Cast', 'Adventure', 'Historical', 'Military', 'Seinen']
