	title	mean	rank	popularity	genres
471	Yagate Kimi ni Naru	7.89	805	690	['Drama', 'Girls Love', 'School']
472	Yuzuki-san Chi no Yonkyoudai.	7.89	807	2983	['School', 'Shoujo', 'Slice of Life']
473	Zoku Sayonara Zetsubou Sensei	7.89	808	1710	['Comedy', 'Gag Humor', 'Parody', 'School', 'Shounen']
474	Jormungand: Perfect Order	7.89	809	1243	['Action', 'Adult Cast', 'Adventure', 'Military', 'Organized Crime', 'Seinen']
475	Lupin III (2015)	7.89	811	2583	['Action', 'Adult Cast', 'Adventure', 'Comedy', 'Mystery', 'Seinen']
476	Macross	7.89	812	1956	['Action', 'Mecha', 'Military', 'Music', 'Romance', 'Sci-Fi', 'Space']
477	Mahoutsukai no Yome Season 2 Part 2	7.89	813	2217	['Drama', 'Fantasy', 'Mythology', 'Romance', 'School', 'Shounen']
478	Sakigake!! Cromartie Koukou	7.89	814	1639	['Comedy', 'Delinquents', 'Gag Humor', 'School', 'Shounen']
479	School Rumble	7.89	815	738	['Comedy', 'Gag Humor', 'Love Polygon', 'Romance', 'School', 'Shounen']
480	JoJo no Kimyou na Bouken (TV)	7.88	816	58	['Action', 'Adventure', 'Historical', 'Shounen', 'Supernatural', 'Vampire']
481	Kidou Senshi Zeta Gundam	7.88	817	2483	['Action', 'Drama', 'Mecha', 'Military', 'Romance', 'Sci-Fi', 'Space']
482	Macross F	7.88	818	1572	['Action', 'Award Winning', 'Mecha', 'Military', 'Music', 'Romance', 'Sci-Fi', 'Space']
483	Megalo Box	7.88	819	439	['Adult Cast', 'Combat Sports', 'Sci-Fi', 'Sports']
484	Saiunkoku Monogatari	7.88	822	2140	['Adventure', 'Fantasy', 'Historical', 'Reverse Harem', 'Romance', 'Shoujo']
485	Boku no Hero Academia 4th Season	7.88	824	54	['Action', 'School', 'Shounen', 'Super Power']
486	Ginga Sengoku Gunyuuden Rai	7.88	828	5338	['Adventure', 'Romance', 'Sci-Fi', 'Shounen', 'Space']
487	Golden Kamuy	7.88	829	592	['Action', 'Adult Cast', 'Adventure', 'Historical', 'Military', 'Seinen']
488	Higurashi no Naku Koro ni	7.88	830	235	['Gore', 'Horror', 'Mystery', 'Psychological', 'Supernatural', 'Suspense']
489	Hoozuki no Reitetsu 2nd Season	7.88	831	3239	['Comedy', 'Fantasy', 'Mythology', 'Seinen']
490	Jigoku Shoujo Futakomori	7.88	832	1459	['Horror', 'Mystery', 'Psychological', 'Supernatural']
491	Space☆Dandy	7.88	835	664	['Adult Cast', 'Comedy', 'Sci-Fi', 'Space']
492	Undead Girl Murder Farce	7.88	838	1573	['Adult Cast', 'Detective', 'Fantasy', 'Historical', 'Mystery', 'Vampire']
493	Terra e... (TV)	7.87	840	2815	['Action', 'Drama', 'Military', 'Sci-Fi', 'Shounen', 'Space', 'Super Power']
494	Tonikaku Kawaii	7.87	841	266	['Comedy', 'Romance', 'Shounen']
495	Zan Sayonara Zetsubou Sensei	7.87	843	1999	['Comedy', 'Gag Humor', 'Parody', 'School', 'Shounen']
496	Kami nomi zo Shiru Sekai II	7.87	844	600	['Comedy', 'Harem', 'Otaku Culture', 'Romance', 'Shounen', 'Supernatural']
497	Ookiku Furikabutte	7.87	848	2092	['Seinen', 'Sports', 'Team Sports']
498	ef: A Tale of Memories.	7.87	855	960	['Drama', 'Mystery', 'Romance']
499	Boku no Hero Academia	7.86	859	7	['Action', 'School', 'Shounen', 'Super Power']
500	Cool Doji Danshi	7.86	860	2204	['Iyashikei', 'Slice of Life']
501	Ie Naki Ko	7.86	863	5308	['Adventure', 'Drama', 'Historical', 'Kids']
502	InuYasha	7.86	864	240	['Action', 'Adventure', 'Fantasy', 'Historical', 'Love Polygon', 'Mythology', 'Romance', 'Shounen', 'Time Travel']
503	Urusei Yatsura (2022) 2nd Season	7.86	865	3427	['Comedy', 'Romance', 'Sci-Fi', 'Shounen']
504	Yoru no Kurage wa Oyogenai	7.86	866	2182	['Drama', 'Music']
505	K-On!	7.86	867	144	['CGDCT', 'Comedy', 'Music', 'School']
506	Kidou Senshi Gundam: Suisei no Majo	7.86	868	1496	['Action', 'Mecha', 'School', 'Sci-Fi', 'Space']
507	Komi-san wa, Comyushou desu.	7.86	869	193	['Comedy', 'Romantic Subtext', 'School', 'Shounen']
508	Magic Kaito 1412	7.86	871	1775	['Adventure', 'Comedy', 'Romance', 'Shounen']
509	Paradise Kiss	7.86	878	1067	['Drama', 'Josei', 'Romance', 'School', 'Visual Arts']
510	Machikado Mazoku: 2-choume	7.85	881	2654	['CGDCT', 'Comedy', 'Fantasy', 'Mahou Shoujo', 'School']
511	Sayonara Zetsubou Sensei	7.85	885	687	['Comedy', 'Gag Humor', 'Parody', 'School', 'Shounen']
512	Beelzebub	7.85	888	367	['Action', 'Childcare', 'Comedy', 'Delinquents', 'Mythology', 'School', 'Shounen', 'Supernatural']
513	Carole & Tuesday	7.85	889	734	['Drama', 'Music', 'Sci-Fi']
514	Heartcatch Precure!	7.85	891	3923	['Action', 'Comedy', 'Fantasy', 'Mahou Shoujo']
515	Hoozuki no Reitetsu 2nd Season: Sono Ni	7.85	892	4142	['Comedy', 'Fantasy', 'Mythology', 'Seinen']
516	Soul Eater	7.85	893	63	['Action', 'Comedy', 'Fantasy', 'School', 'Shounen']
517	Tennis no Oujisama	7.85	894	1305	['School', 'Shounen', 'Sports']
518	Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e	7.85	896	104	['Drama', 'Psychological', 'School', 'Suspense']
519	Tiger & Bunny	7.84	898	1080	['Action', 'Adult Cast', 'Comedy', 'Mystery', 'Sci-Fi', 'Super Power']
520	Tokyo Revengers: Tenjiku-hen	7.84	899	1255	['Action', 'Delinquents', 'Drama', 'Shounen', 'Supernatural', 'Time Travel']
521	Yume-iro Pâtissière	7.84	904	2357	['Gourmet', 'School', 'Shoujo']
522	Magi: Sinbad no Bouken (TV)	7.84	907	471	['Action', 'Adventure', 'Fantasy', 'Shounen']
523	Musekinin Kanchou Tylor	7.84	908	3141	['Adult Cast', 'Comedy', 'Military', 'Parody', 'Sci-Fi', 'Space']
524	Oniisama e...	7.84	909	3209	['Drama', 'Girls Love', 'Psychological', 'School', 'Shoujo']
525	Boku no Hero Academia 7th Season	7.84	913	938	['Action', 'School', 'Shounen', 'Super Power']
526	Dark Gathering	7.84	914	1661	['Gore', 'Horror', 'Shounen', 'Supernatural']
527	Doraemon (1979)	7.84	915	2765	['Adventure', 'Anthropomorphic', 'Comedy', 'Fantasy', 'Kids', 'Sci-Fi', 'Shounen']
528	91 Days	7.83	920	278	['Action', 'Drama', 'Historical', 'Organized Crime', 'Suspense']
529	Dance Dance Danseur	7.83	921	2335	['Drama', 'Performing Arts', 'Seinen']
530	Hug tto! Precure	7.83	923	5181	['Action', 'Fantasy', 'Mahou Shoujo']
531	Jibaku Shounen Hanako-kun	7.83	924	368	['School', 'Shounen', 'Supernatural']
532	Trigun Stampede	7.83	925	1287	['Action', 'Adult Cast', 'Adventure', 'Sci-Fi', 'Shounen']
533	Tsuki ga Michibiku Isekai Douchuu 2nd Season	7.83	926	1069	['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai']
534	Uchouten Kazoku	7.83	927	1411	['Anthropomorphic', 'Award Winning', 'Comedy', 'Drama', 'Fantasy', 'Mythology']
535	Mashle: Shinkakusha Kouho Senbatsu Shiken-hen	7.83	931	702	['Action', 'Comedy', 'Fantasy', 'Gag Humor', 'Parody', 'School', 'Shounen']
536	Michiko to Hatchin	7.83	932	1194	['Action', 'Adventure']
537	Seihou Bukyou Outlaw Star	7.83	933	1492	['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Seinen', 'Space']
538	Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken	7.82	939	760	['Romance', 'School']
539	Sekaiichi Hatsukoi 2	7.82	942	1493	['Adult Cast', 'Boys Love', 'Otaku Culture', 'Workplace']
540	Akachan to Boku	7.82	944	4594	['Childcare', 'Comedy', 'Drama', 'Shoujo']
541	Gekkan Shoujo Nozaki-kun	7.82	947	182	['Comedy', 'Otaku Culture', 'Romance', 'School']
542	Gungrave	7.82	949	1259	['Action', 'Adult Cast', 'Drama', 'Gore', 'Organized Crime', 'Sci-Fi', 'Super Power']
543	Hidamari Sketch x 365	7.82	951	3958	['CGDCT', 'Iyashikei', 'School', 'Slice of Life', 'Visual Arts']
544	Id:Invaded	7.82	952	635	['Adult Cast', 'Detective', 'Mystery', 'Psychological', 'Sci-Fi', 'Suspense']
545	Somali to Mori no Kamisama	7.82	954	848	['Adventure', 'Anthropomorphic', 'Childcare', 'Drama', 'Fantasy']
546	Suzumiya Haruhi no Yuuutsu	7.82	955	186	['Award Winning', 'Comedy', 'Mystery', 'School', 'Sci-Fi']
547	Tanaka-kun wa Itsumo Kedaruge	7.82	956	488	['Iyashikei', 'School', 'Slice of Life']
548	Tasogare Otome x Amnesia	7.82	957	569	['Horror', 'Mystery', 'Romance', 'School', 'Shounen', 'Supernatural']
549	Tentai Senshi Sunred 2nd Season	7.82	958	7085	['Comedy', 'Gag Humor', 'Parody', 'Seinen', 'Super Power']
550	Working'!!	7.82	959	924	['Comedy', 'Romantic Subtext', 'Seinen', 'Workplace']
551	Yuusha-Ou GaoGaiGar	7.82	960	4691	['Action', 'Adventure', 'Mecha', 'Sci-Fi', 'Super Power']
552	Wind Breaker	7.81	961	1008	['Action', 'Delinquents']
553	Yuru Yuri♪♪	7.81	962	1291	['CGDCT', 'Comedy', 'Gag Humor', 'Girls Love', 'School']
554	Little Witch Academia (TV)	7.81	964	331	['Adventure', 'Comedy', 'Fantasy', 'School']
555	Mairimashita! Iruma-kun 3rd Season	7.81	965	1245	['Comedy', 'Fantasy', 'Isekai', 'School', 'Shounen']
556	Make Heroine ga Oosugiru!	7.82	966	4046	['Comedy', 'Romance', 'School']
557	NieR:Automata Ver1.1a Part 2	7.81	968	2932	['Action', 'Fantasy', 'Sci-Fi']
558	Beastars	7.81	973	205	['Anthropomorphic', 'Drama', 'Psychological', 'School', 'Shounen', 'Suspense']
559	Bungou Stray Dogs	7.81	974	91	['Action', 'Adult Cast', 'Detective', 'Mystery', 'Organized Crime', 'Seinen', 'Super Power', 'Supernatural']
560	Capeta	7.81	973	4260	['Racing', 'Shounen', 'Sports']
561	Eikoku Koi Monogatari Emma: Molders-hen	7.81	976	4250	['Adult Cast', 'Drama', 'Historical', 'Romance', 'Seinen']
562	Enen no Shouboutai: Ni no Shou	7.81	977	250	['Action', 'Fantasy', 'Sci-Fi', 'Shounen', 'Super Power']
563	Baby Steps	7.8	980	1574	['School', 'Shounen', 'Sports']
564	Blue Period	7.8	981	482	['Drama', 'School', 'Seinen', 'Visual Arts']
565	City Hunter 3	7.8	983	4717	['Action', 'Comedy', 'Mystery', 'Shounen']
566	Slayers Try	7.8	985	2994	['Action', 'Adventure', 'Comedy', 'Fantasy']
567	Sonny Boy	7.8	988	768	['Award Winning', 'Isekai', 'Mystery', 'Super Power']
568	Tadaima, Okaeri	7.8	989	4042	['Boys Love', 'Childcare', 'Slice of Life']
569	Yamada-kun to Lv999 no Koi wo Suru	7.8	988	560	['Romance', 'Video Game']
570	Zom 100: Zombie ni Naru made ni Shitai 100 no Koto	7.8	991	417	['Action', 'Adult Cast', 'Comedy', 'Horror', 'Seinen', 'Supernatural', 'Survival', 'Suspense']
571	Jungle wa Itsumo Hare nochi Guu	7.8	990	3833	['Comedy', 'Gag Humor', 'School', 'Shounen', 'Slice of Life']
572	Mahoujin Guruguru (2017)	7.8	1000	3905	['Adventure', 'Comedy', 'Fantasy', 'Parody', 'Shounen']
573	Shadows House	7.8	1004	982	['Fantasy', 'Mystery', 'Seinen']
574	Jormungand	7.79	1005	655	['Action', 'Adult Cast', 'Adventure', 'Military', 'Organized Crime', 'Seinen']
575	Last Exile	7.79	1006	1362	['Action', 'Adventure', 'Sci-Fi']
576	Crayon Shin-chan	7.79	1016	2331	['Comedy', 'Ecchi', 'School', 'Seinen']
577	Go! Princess Precure	7.79	1021	5020	['Action', 'Comedy', 'Fantasy', 'Mahou Shoujo', 'School']
578	Igano Kabamaru	7.79	1022	6120	['Action', 'Adventure', 'Comedy', 'Romance', 'School', 'Shoujo']
579	Isekai Ojisan	7.79	1025	665	['Adult Cast', 'Comedy', 'Fantasy', 'Isekai', 'Otaku Culture', 'Parody']
580	Taishou Otome Otogibanashi	7.79	1027	1565	['Comedy', 'Drama', 'Historical', 'Romance', 'Shounen']
581	Tokyo Ghoul	7.79	1030	10	['Action', 'Fantasy', 'Gore', 'Horror', 'Psychological', 'Seinen', 'Suspense']
582	Wolf's Rain	7.79	1030	733	['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']
583	Tomo-chan wa Onnanoko!	7.78	1036	572	['Comedy', 'Romance', 'School']
584	Undead Unluck	7.78	1038	945	['Action', 'Comedy', 'Fantasy', 'Shounen', 'Super Power']
585	Kekkai Sensen & Beyond	7.78	1042	515	['Action', 'Fantasy', 'Shounen', 'Super Power', 'Vampire']
586	Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo	7.78	1043	1115	['Comedy', 'Harem', 'Parody', 'Romance', 'School', 'Seinen']
587	Seikai no Senki II	7.78	1049	4543	['Action', 'Military', 'Romance', 'Sci-Fi', 'Space']
588	Beastars 2nd Season	7.78	1050	511	['Anthropomorphic', 'Drama', 'Psychological', 'School', 'Shounen', 'Suspense']
589	Digimon Adventure	7.78	1054	573	['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Kids']
590	Ginga Eiyuu Densetsu: Die Neue These - Kaikou	7.78	1056	2308	['Adult Cast', 'Drama', 'Military', 'Sci-Fi', 'Space']
591	Heike Monogatari	7.78	1058	2400	['Drama', 'Historical', 'Samurai', 'Supernatural']
592	Akage no Anne	7.77	1061	3854	['Drama', 'Historical']
593	Date A Live IV	7.77	1063	966	['Action', 'Fantasy', 'Harem', 'Romance', 'School', 'Sci-Fi']
594	Ginga Tetsudou 999	7.77	1065	3613	['Adventure', 'Drama', 'Sci-Fi', 'Space']
595	Gochuumon wa Usagi desu ka??	7.77	1065	1717	['CGDCT', 'Iyashikei', 'Slice of Life', 'Workplace']
596	Hoozuki no Reitetsu	7.77	1067	1721	['Comedy', 'Fantasy', 'Mythology', 'Seinen']
597	Kochira Katsushikaku Kameari Kouenmae Hashutsujo	7.77	1072	5000	['Adult Cast', 'Comedy', 'Detective', 'Gag Humor', 'Shounen']
598	Lupin the Third: Mine Fujiko to Iu Onna	7.77	1073	2759	['Action', 'Adult Cast', 'Adventure', 'Award Winning', 'Comedy', 'Ecchi', 'Samurai', 'Seinen']
599	Kami no Tou: Ouji no Kikan	7.76	1075	1606	['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']
600	Love Live! School Idol Project 2nd Season	7.76	1076	944	['Award Winning', 'Idols (Female)', 'Music', 'School', 'Slice of Life']
601	Lupin III: Part II	7.76	1079	3792	['Action', 'Adult Cast', 'Adventure', 'Comedy', 'Mystery', 'Seinen']
602	Princess Connect! Re:Dive Season 2	7.76	1082	1759	['Adventure', 'Comedy', 'Fantasy', 'Gourmet']
603	Ranma ½	7.76	1083	958	['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Magical Sex Shift', 'Martial Arts', 'Shounen']
604	Saenai Heroine no Sodatekata ♭	7.76	1084	646	['Comedy', 'Ecchi', 'Harem', 'Otaku Culture', 'Romance', 'School']
605	Saraiya Goyou	7.76	1086	2205	['Adult Cast', 'Drama', 'Historical', 'Samurai', 'Seinen']
606	Akagami no Shirayuki-hime	7.76	1087	303	['Drama', 'Fantasy', 'Medical', 'Romance', 'Shoujo']
607	Bishoujo Senshi Sailor Moon Crystal Season III	7.76	1088	2822	['Fantasy', 'Mahou Shoujo', 'Mythology', 'Romance', 'Shoujo']
608	Texhnolyze	7.76	1093	970	['Action', 'Adult Cast', 'Drama', 'Organized Crime', 'Psychological', 'Sci-Fi', 'Suspense']
609	Turn A Gundam	7.76	1094	3176	['Action', 'Adventure', 'Award Winning', 'Drama', 'Mecha', 'Military', 'Romance', 'Sci-Fi', 'Space']
610	Taiyou no Ko Esteban	7.75	1099	5654	['Adventure', 'Historical', 'Sci-Fi']
611	Udon no Kuni no Kiniro Kemari	7.75	1101	1683	['Anthropomorphic', 'Childcare', 'Iyashikei', 'Seinen', 'Slice of Life', 'Supernatural']
612	Watashi no Shiawase na Kekkon	7.75	1102	872	['Adult Cast', 'Drama', 'Fantasy', 'Historical', 'Romance']
613	Kidou Senshi Gundam	7.75	1103	1684	['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']
614	Kumichou Musume to Sewagakari	7.75	1105	1096	['Childcare', 'Organized Crime', 'Slice of Life']
615	Lucky☆Star	7.75	1107	326	['Comedy', 'Gag Humor', 'Otaku Culture', 'School']
616	Mahoutsukai no Yome Season 2	7.75	1108	1332	['Drama', 'Fantasy', 'Mythology', 'Romance', 'School', 'Shounen']
617	Maria-sama ga Miteru 4th	7.75	1109	4639	['Drama', 'Girls Love', 'School', 'Shoujo']
618	Overlord II	7.75	1111	153	['Action', 'Adventure', 'Fantasy', 'Isekai']
619	Pokemon XY&Z	7.75	1112	1592	['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']
620	Saint Seiya	7.75	1113	1276	['Action', 'Adventure', 'Fantasy', 'Mythology', 'Sci-Fi', 'Shounen']
621	Charlotte	7.75	1118	65	['Drama', 'School', 'Super Power']
622	City Hunter '91	7.75	1119	4473	['Action', 'Comedy', 'Mystery', 'Shounen']
623	Dragon Ball Kai	7.75	1122	593	['Action', 'Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Shounen', 'Super Power']
624	Ghost Hunt	7.75	1127	1064	['Horror', 'Mystery', 'Shoujo', 'Supernatural']
625	High Score Girl	7.75	1129	943	['Comedy', 'Love Polygon', 'Romantic Subtext', 'School', 'Seinen', 'Video Game']
626	Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen	7.74	1132	708	['Action', 'Adventure', 'Fantasy']
627	Gakkou no Kaidan	7.74	1134	1141	['Horror', 'Mystery', 'Supernatural']
628	Genshiken 2	7.74	1135	2352	['Adult Cast', 'Otaku Culture', 'Parody', 'Seinen', 'Slice of Life']
629	Golden Time	7.74	1136	148	['Adult Cast', 'Drama', 'Love Polygon', 'Romance']
630	Grisaia no Rakuen	7.74	1137	562	['Drama', 'Harem', 'Psychological', 'Romance', 'Suspense']
631	Gundam Build Fighters	7.74	1138	2497	['Action', 'Mecha', 'Sci-Fi']
632	Higashi no Eden	7.74	1139	390	['Adult Cast', 'Award Winning', 'Mystery', 'Psychological', 'Romance', 'Sci-Fi', 'Suspense']
633	Shokugeki no Souma: Shin no Sara	7.74	1141	351	['Ecchi', 'Gourmet', 'School', 'Shounen']
634	Tentai Senshi Sunred	7.74	1143	4707	['Comedy', 'Gag Humor', 'Parody', 'Seinen', 'Super Power']
635	Kidou Senshi Gundam SEED	7.74	1145	1382	['Action', 'Award Winning', 'Drama', 'Mecha', 'Military', 'Romance', 'Sci-Fi', 'Space']
636	Mairimashita! Iruma-kun	7.74	1150	458	['Comedy', 'Fantasy', 'Isekai', 'School', 'Shounen']
637	Migi to Dali	7.74	1151	2477	['Comedy', 'Mystery', 'Seinen', 'Suspense']
638	Shaman King	7.74	1152	653	['Action', 'Adventure', 'Shounen', 'Super Power', 'Supernatural']
639	Kageki Shoujo!!	7.73	1153	2343	['Drama', 'Performing Arts', 'School', 'Shoujo']
640	Kokoro Connect	7.73	1154	215	['Drama', 'Love Polygon', 'Romance', 'School', 'Supernatural']
641	Kyou kara Maou! 3rd Series	7.73	1155	3810	['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Shoujo']
642	Panty & Stocking with Garterbelt	7.73	1159	585	['Action', 'Comedy', 'Ecchi', 'Gag Humor', 'Parody', 'Supernatural']
643	Ani ni Tsukeru Kusuri wa Nai! 2	7.73	1163	3108	['Comedy', 'School']
644	Bishoujo Senshi Sailor Moon	7.73	1165	611	['Fantasy', 'Mahou Shoujo', 'Mythology', 'Romance', 'Shoujo']
645	Claymore	7.73	1169	307	['Action', 'Adventure', 'Fantasy', 'Gore', 'Shounen']
646	Dragon Quest: Dai no Daibouken (2020)	7.73	1170	2549	['Action', 'Adventure', 'Fantasy', 'Shounen']
647	Hataraku Maou-sama!	7.73	1172	70	['Comedy', 'Fantasy', 'Mythology', 'Workplace']
648	Tantei Gakuen Q	7.73	1177	3781	['Comedy', 'Detective', 'Drama', 'Mystery', 'Shounen']
649	Shiki	7.72	1180	362	['Gore', 'Horror', 'Mystery', 'Psychological', 'Shounen', 'Supernatural', 'Suspense', 'Vampire']
650	Sidonia no Kishi: Daikyuu Wakusei Seneki	7.72	1181	1851	['Action', 'Mecha', 'Sci-Fi', 'Seinen', 'Space']
651	Slayers	7.72	1182	1611	['Action', 'Adventure', 'Comedy', 'Fantasy']
652	Tegamibachi Reverse	7.72	1183	2769	['Adventure', 'Fantasy', 'Shounen']
653	Tomodachi Game	7.72	1184	574	['High Stakes Game', 'Psychological', 'Shounen', 'Strategy Game', 'Suspense']
654	Ueki no Housoku	7.72	1187	1865	['Action', 'Adventure', 'Shounen', 'Super Power', 'Supernatural']
655	Yamato Nadeshiko Shichihenge♥	7.72	1188	1461	['Comedy', 'Reverse Harem', 'Shoujo']
656	Kyoukai no Kanata	7.72	1191	124	['Action', 'Fantasy', 'School']
657	Mujin Wakusei Survive	7.72	1197	4081	['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Slice of Life']
658	Bishoujo Senshi Sailor Moon R	7.72	1200	1475	['Fantasy', 'Mahou Shoujo', 'Mythology', 'Romance', 'Shoujo']
659	Doukyonin wa Hiza, Tokidoki, Atama no Ue.	7.72	1202	1229	['Adult Cast', 'Pets', 'Slice of Life']
660	Inazuma Eleven	7.72	1206	1133	['Sports', 'Super Power', 'Team Sports']
661	Arakawa Under the Bridge x Bridge	7.71	1209	1437	['Comedy', 'Romance', 'Seinen']
662	Chi's Sweet Home: Atarashii Ouchi	7.71	1215	4078	['Comedy', 'Pets', 'Seinen', 'Slice of Life']
663	Enen no Shouboutai	7.71	1218	98	['Action', 'Fantasy', 'Sci-Fi', 'Shounen', 'Super Power']
664	Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2	7.71	1221	397	['Action', 'Adventure', 'Fantasy', 'Isekai', 'Military']
665	Jinrui wa Suitai Shimashita	7.71	1223	1262	['Adventure', 'Comedy', 'Fantasy']
666	Tsuki ga Michibiku Isekai Douchuu	7.71	1225	503	['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai']
667	Urusei Yatsura	7.71	1226	2256	['Comedy', 'Romance', 'Sci-Fi', 'Shounen']
668	Ojamajo Doremi Dokkaan!	7.71	1233	5147	['Comedy', 'Fantasy', 'Mahou Shoujo']
669	Joshikousei no Mudazukai	7.7	1238	1803	['CGDCT', 'Comedy', 'Gag Humor', 'School']
670	Keroro Gunsou	7.7	1239	2458	['Comedy', 'Parody', 'Sci-Fi', 'Shounen']
671	Kyousou Giga (TV)	7.7	1240	1250	['Action', 'Fantasy']
672	New Game!!	7.7	1244	949	['Adult Cast', 'CGDCT', 'Comedy', 'Otaku Culture', 'Workplace']
673	Chuunibyou demo Koi ga Shitai!	7.7	1252	96	['Comedy', 'Romance', 'School']
674	Date A Live V	7.7	1253	2077	['Action', 'Fantasy', 'Harem', 'Romance', 'School', 'Sci-Fi']
675	Dragon Ball Kai (2014)	7.7	1254	1242	['Action', 'Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Shounen', 'Super Power']
676	IDOLiSH7	7.7	1257	2580	['Drama', 'Idols (Male)', 'Music']
677	Tetsuwan Birdy Decode:02	7.7	1258	3082	['Action', 'Comedy', 'Sci-Fi', 'Seinen']
678	Uramichi Oniisan	7.7	1259	1037	['Adult Cast', 'Comedy', 'Gag Humor', 'Showbiz', 'Workplace']
679	The iDOLM@STER Cinderella Girls: U149	7.69	1261	5426	['Idols (Female)', 'Music']
680	Watashi no Ashinaga Ojisan	7.69	1263	5199	['Comedy', 'Historical', 'Romance', 'School']
681	Junjou Romantica 2	7.69	1266	1335	['Adult Cast', 'Boys Love', 'Comedy', 'Drama']
682	Karakai Jouzu no Takagi-san	7.69	1268	374	['Comedy', 'Romantic Subtext', 'School', 'Shounen']
683	Love Live! Superstar!! 2nd Season	7.69	1269	3898	['Idols (Female)', 'Music', 'School', 'Slice of Life']
684	Ani ni Tsukeru Kusuri wa Nai! 3	7.69	1274	3603	['Comedy', 'School']
685	D.Gray-man Hallow	7.69	1277	1268	['Action', 'Adventure', 'Fantasy', 'Mythology', 'Shounen', 'Super Power']
686	Doraemon (2005)	7.69	1278	4913	['Anthropomorphic', 'Comedy', 'Kids', 'Sci-Fi', 'Shounen']
687	Fruits Basket	7.69	1279	415	['Drama', 'Love Polygon', 'Romance', 'School', 'Shoujo', 'Supernatural']
688	Hakumei to Mikochi	7.69	1280	2726	['Anthropomorphic', 'Fantasy', 'Iyashikei', 'Seinen', 'Slice of Life']
689	Hanasakeru Seishounen	7.69	1282	2638	['Drama', 'Reverse Harem', 'Romance', 'Shoujo']
690	Hourou Musuko	7.69	1283	1737	['Crossdressing', 'Drama', 'Romance', 'School', 'Seinen']
691	Gate: Jieitai Kanochi nite, Kaku Tatakaeri	7.68	1286	231	['Action', 'Adventure', 'Fantasy', 'Isekai', 'Military']
692	Isekai Shokudou 2	7.68	1287	2133	['Fantasy', 'Gourmet', 'Isekai', 'Slice of Life', 'Workplace']
693	Uchuu Kaizoku Captain Herlock	7.68	1289	3646	['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Seinen', 'Space']
694	Kidou Keisatsu Patlabor: On Television	7.68	1292	3569	['Action', 'Adult Cast', 'Comedy', 'Mecha', 'Sci-Fi', 'Workplace']
695	Princess Principal	7.68	1299	1160	['Action', 'Historical', 'Mystery']
696	Seitokai Yakuindomo*	7.68	1300	957	['Comedy', 'Gag Humor', 'School', 'Shounen']
697	Kanojo to Kanojo no Neko: Everything Flows	7.67	1302	1681	['Pets', 'Slice of Life']
698	Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season	7.67	1307	3622	['Idols (Female)', 'Music', 'School', 'Slice of Life']
699	Mahou Shoujo ni Akogarete	7.67	1309	1645	['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Girls Love', 'Mahou Shoujo']
700	Mousou Dairinin	7.67	1311	548	['Avant Garde', 'Detective', 'Drama', 'Mystery', 'Psychological', 'Supernatural', 'Suspense']
701	Oniichan wa Oshimai!	7.67	1313	1542	['CGDCT', 'Comedy', 'Magical Sex Shift', 'School', 'Shounen']
702	Princess Sara	7.67	1314	4782	['Drama', 'Historical', 'School']
703	3D Kanojo: Real Girl 2nd Season	7.67	1316	1265	['Otaku Culture', 'Romance', 'School', 'Shoujo']
704	Aoi Bungaku Series	7.67	1317	1109	['Drama', 'Historical', 'Psychological', 'Suspense']
705	Aria the Animation	7.67	1318	1445	['Fantasy', 'Iyashikei', 'Sci-Fi', 'Shounen', 'Slice of Life']
706	Baka to Test to Shoukanjuu Ni!	7.67	1319	641	['Comedy', 'Love Polygon', 'Romance', 'School', 'Super Power']
707	Binbougami ga!	7.67	1320	1046	['Comedy', 'Gag Humor', 'Parody', 'Shounen', 'Supernatural']
708	Chi's Sweet Home	7.67	1321	2743	['Comedy', 'Pets', 'Seinen', 'Slice of Life']
709	Shin Kidou Senki Gundam Wing	7.67	1326	1470	['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']
